"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-xyzmethodes",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-xyzmethodes","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-xyzmethodes","nl",,,,"Dataset codelijst xyzmethodes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-xyzmethodes",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst xyzmethodes","omg_conceptscheme:xyzmethodes","Codelijst xyzmethodes",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-xyzmethodes.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-xyzmethodes.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-xyzmethodes.0.1.0","nl",,"omg_dataset:codelijst-xyzmethodes",,"Dataset codelijst xyzmethodes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-xyzmethodes.0.1.0","2023-07-27","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst xyzmethodes","omg_conceptscheme:xyzmethodes","Codelijst xyzmethodes (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-xyzmethodes.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_csv|omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_jsonld|omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_rdf|omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_ttl|omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes_csv",,,,,,"Codelijst xyzmethodes, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_csv","2023-07-27",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in text/csv formaat.",,"Codelijst xyzmethodes, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.0.xyzmethodes_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes_jsonld",,,,,,"Codelijst xyzmethodes, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_jsonld","2023-07-27",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in jsonld rdf-formaat.",,"Codelijst xyzmethodes, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.0.xyzmethodes_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes_rdf",,,,,,"Codelijst xyzmethodes, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_rdf","2023-07-27",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in xml rdf-formaat.",,"Codelijst xyzmethodes, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.0.xyzmethodes_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes_ttl",,,,,,"Codelijst xyzmethodes, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_ttl","2023-07-27",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in Turtle rdf-formaat.",,"Codelijst xyzmethodes, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.0.xyzmethodes_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes_xsd",,,,,,"Codelijst xyzmethodes, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-xyzmethodes.0.1.0.xyzmethodes_xsd","2023-07-27",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in xml/xsd formaat.",,"Codelijst xyzmethodes, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.0.xyzmethodes_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.0.xyzmethodes.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.0",,,,,,"Codelijst xyzmethodes, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.0","2023-07-27",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in jar-formaat.",,"Package codelijst-xyzmethodes",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-xyzmethodes/0.1.0/codelijst-xyzmethodes-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-xyzmethodes/0.1.0/codelijst-xyzmethodes-0.1.0.jar","codelijst-xyzmethodes-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-xyzmethodes.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-xyzmethodes.0.1.1","nl",,"omg_dataset:codelijst-xyzmethodes",,"Dataset codelijst xyzmethodes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-xyzmethodes.0.1.1","2023-09-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst xyzmethodes","omg_conceptscheme:xyzmethodes","Codelijst xyzmethodes (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-xyzmethodes.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_csv|omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_jsonld|omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_rdf|omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_ttl|omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes_csv",,,,,,"Codelijst xyzmethodes, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_csv","2023-09-21",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in text/csv formaat.",,"Codelijst xyzmethodes, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.1.xyzmethodes_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes_jsonld",,,,,,"Codelijst xyzmethodes, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_jsonld","2023-09-21",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in jsonld rdf-formaat.",,"Codelijst xyzmethodes, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.1.xyzmethodes_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes_rdf",,,,,,"Codelijst xyzmethodes, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_rdf","2023-09-21",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in xml rdf-formaat.",,"Codelijst xyzmethodes, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.1.xyzmethodes_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes_ttl",,,,,,"Codelijst xyzmethodes, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_ttl","2023-09-21",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in Turtle rdf-formaat.",,"Codelijst xyzmethodes, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.1.xyzmethodes_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes_xsd",,,,,,"Codelijst xyzmethodes, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-xyzmethodes.0.1.1.xyzmethodes_xsd","2023-09-21",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in xml/xsd formaat.",,"Codelijst xyzmethodes, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-xyzmethodes.0.1.1.xyzmethodes_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-xyzmethodes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-xyzmethodes.0.1.1.xyzmethodes.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.1-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.1","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.1",,,,,,"Codelijst xyzmethodes, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes.0.1.1","2023-09-21",,,,"ovo:OVO003751",,"Codelijst xyzmethodes in jar-formaat.",,"Package codelijst-xyzmethodes",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-xyzmethodes/0.1.1/codelijst-xyzmethodes-0.1.1.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-xyzmethodes/0.1.1/codelijst-xyzmethodes-0.1.1.jar","codelijst-xyzmethodes-0.1.1.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-xyzmethodes","0.1.1"
